LINE,YPP,PN,GNPP,SSR,GWe,HD,PH,PL,GL,GWi
Z197,55.8,13,163.69,0.93,30.28,95,110.3,23.48,8.232,2.862
Z198,30.78,8,164.38,0.77,33.4,100,119.7,27.06,8.98,3.075
Z199,45.35,16,132.56,0.79,30.12,90,99,22.04,9.107,2.539
Z200,56.11,15,153.07,0.82,31.75,90,93.7,23,9.126,2.72
Z201,52.06,22,106.82,0.78,29.48,80,74.3,22.96,8.47,2.848
Z202,40.66,17,90.06,0.91,31.28,80,73.3,22.36,9.138,2.699
Z203,39.32,15,129.2,0.81,25.73,82,80,22.36,8.271,2.543
Z204,46.61,12,150,0.92,29.67,94,102.3,21.66,8.961,2.505
Z205,61.59,17,140.71,0.92,29.57,88,93,24.08,8.496,2.804
Z206,32.67,10,122,0.92,32.07,95,101,25.34,9.526,2.675
Z207,38.64,13,145.46,0.78,29.47,96,111.3,25,8.471,3.021
Z208,54.72,15,138.87,0.85,33.25,83,98.3,23.2,9.167,2.852
Z209,45.17,10,175.4,0.94,28.28,88,95,22.22,8.227,2.848
Z210,41.78,14,144.71,0.81,28.08,80,79,22.28,9.234,2.428
Z211,50.93,18,138.78,0.85,25.63,82,85.7,22.38,8.395,2.495
Z212,64.04,22,167.18,0.7,26.92,82,85.7,22.5,8.851,2.47
Z213,54.5,16,120.38,0.92,32.53,97,112,22.88,8.785,2.919
Z214,54.96,16,170.25,0.84,30.62,96,107,23.34,8.422,2.866
Z215,35.21,15,126.13,0.83,23.92,81,79.7,21.76,7.995,2.546
Z216,59.45,17,136.76,0.91,30.52,100,116.7,23.74,8.487,2.929
Z217,40.66,16,119.5,0.79,27.5,76,95,23.92,9.31,2.335
Z219,41.5,13,148.38,0.84,27.12,81,88,23.16,8.105,2.83
Z220,44.25,16,120.06,0.85,29.5,82,84,21.08,8.493,2.784
Z221,36.63,8,165.5,0.95,30.5,97,98,24.66,8.277,2.921
Z222,112.09,27,157.63,0.88,31.43,96,114,25.94,8.546,2.959
Z223,36.21,11,141.09,0.88,28.83,83,86.3,23.06,9.355,2.501
Z225,36.56,12,136.33,0.82,29.85,82,83.3,22.4,9.44,2.58
Z226,35.9,11,142.73,0.9,26.27,82,83.7,22.72,8.24,2.682
Z227,36.75,13,127.38,0.83,27.88,81,84,21.98,8.537,2.73
Z229,56.12,20,128,0.79,29.32,88,86.7,23.62,8.363,2.756
Z230,60.29,18,126.39,0.93,29.35,94,100.5,21.74,8.14,2.869
Z231,39.43,13,120.38,0.88,29.63,97,103,23.68,8.383,2.885
Z232,40.35,10,146.3,0.9,32.98,95,104.7,24.56,9.221,2.712
Z233,25.17,11,130.55,0.75,26.43,95,99.3,22.72,8.277,2.862
Z234,50.27,14,152.64,0.88,27.82,97,100.7,21.22,8.452,2.754
Z235,44.18,14,126.36,0.82,31.93,89,86.3,24.68,9.128,2.616
Z236,34.45,10,135.7,0.79,34.45,101,110,25.22,9.105,3.03
Z237,49,12,175.67,0.93,31.32,93,99.3,26.82,8.816,2.807
Z238,46.11,13,133.31,0.9,31.05,98,104.7,20.66,9.016,2.625
Z239,65.93,15,156.27,0.92,32.37,100,115,26.16,8.562,3.027
Z240,45.01,15,147.4,0.8,27.97,95,105,24.26,8.228,2.847
Z241,52.05,18,115.67,0.83,31.88,99,107,25.26,8.779,2.976
Z242,70.98,18,163.83,0.74,34.13,99,116,25.46,8.641,3.184
Z243,53.6,17,133.71,0.84,29.4,98,106.3,24.22,8.36,2.859
