LINE,YPP,PN,GNPP,SSR,GWe,HD,PH,PL,GL,GWi
Z1085,51.05,19,116,0.86,28.88,84,79.7,18.14,8.755,2.696
Z1086,39.78,13,132.15,0.93,31.8,88,94,20.1,8.899,2.927
Z1087,39.81,13,125.62,0.86,28.32,81,74.7,20,8.823,2.532
Z1088,33.01,16,83.13,0.96,26.48,89,83,20.32,7.942,2.735
Z1089,23.71,7,208.29,0.9,28.05,86,82,18.7,7.786,3.023
Z1090,23.88,12,99.92,0.76,27.08,67,77,18.66,7.073,3.094
Z1091,37.24,10,166.5,0.88,26.33,86,81.3,18.82,7.632,3.027
Z1092,45.98,11,166,0.92,28.58,86,84.7,18.82,7.794,3.046
Z1093,25.12,10,130.1,0.74,26.7,77,74,18,7.099,3.014
Z1094,31.14,9,130.22,0.85,32.67,100,93.3,21.34,9.404,2.716
Z1095,47.05,12,148.08,0.91,31.28,97,97,19.98,9.043,2.621
Z1096,50.13,12,218.83,0.87,22.28,92,91,20.64,7.664,2.487
Z1097,34.71,13,140,0.75,27.9,80,79,22.12,7.471,3.037
Z1098,20.83,7,139.43,0.84,26.47,83,74.3,20.08,8.16,2.744
Z1099,44.79,10,179.4,0.96,27.2,89,86.7,20.86,8.053,2.801
Z1100,32.99,10,145.1,0.94,25.73,82,77,21.5,8.337,2.629
Z1101,41.71,15,145.8,0.91,21.93,88,75.3,20.98,7.639,2.514
Z1102,37.66,10,163,0.91,26.45,88,81.3,19.68,8.71,2.496
Z1103,41.16,13,149.54,0.88,25.43,96,87.7,21.38,8.023,2.717
Z1104,37.68,11,157,0.89,25.22,84,77.3,21.26,8.154,2.554
Z1105,52.86,16,130.5,0.94,29,90,85,20.68,8.973,2.576
Z1106,31.97,10,153.1,0.81,27.62,87,77.3,18.54,8.859,2.581
Z1107,46.16,13,166.92,0.85,26.95,86,77.7,21.22,8.723,2.56
Z1108,38.75,12,130.33,0.92,28.62,88,89.3,20.12,8.863,2.565
Z1109,41.13,11,142.36,0.93,29.62,91,82.3,20.5,9.181,2.577
Z1110,28.65,10,131.3,0.95,23.98,87,75.7,22.12,7.952,2.585
Z1111,32.33,8,148.13,0.91,31.85,97,99.7,22.78,8.224,3.245
Z1112,34.15,10,169.7,0.91,22.52,85,75,23.12,7.428,2.565
Z1113,52.89,16,174.06,0.84,24.5,95,97,21.66,7.432,2.743
Z1114,43.88,11,182,0.94,24.83,90,85.7,18.5,8.181,2.58
Z1115,42.79,11,169.82,0.93,25.07,84,73.3,20.9,7.729,2.651
Z1116,49.49,12,186.92,0.8,30.05,93,94,23.9,8.641,2.712
Z1117,42.98,12,159.33,0.83,28.42,83,82,19.84,9,2.548
Z1118,55.29,16,149.19,0.9,27.18,95,97.7,21.06,8.265,2.669
Z1119,47.35,16,187.13,0.74,23.08,95,88.7,22,8.281,2.33
Z1120,52.21,15,138.93,0.98,26.53,91,92.3,19.28,8.147,2.543
Z1121,39.56,11,139.64,0.92,30.17,91,85,19.3,9.208,2.604
Z1122,31.45,9,169.78,0.83,27.17,96,90.3,20.78,9.207,2.462
Z1123,32.91,10,192.5,0.7,25.18,86,91.7,21.16,8.635,2.387
Z1124,41.47,10,161.3,0.9,30.4,87,85.3,21.12,9.155,2.626
Z1126,31.53,12,136.92,0.79,26.52,82,74,22.5,8.543,2.501
Z1127,30.22,9,154.33,0.84,27.63,84,73.7,22.74,9.289,2.453
Z1128,28.39,7,141.71,0.96,31.32,91,89,23.4,8.916,2.807
Z1129,31.56,11,117.27,0.92,28.62,89,84.3,17.5,8.896,2.652
Z1131,43.66,14,152.5,0.81,26.07,83,74,19.46,7.517,2.944
Z1132,37.99,13,109.23,0.89,31.6,85,76,20.06,9.196,2.7
Z1133,69.76,17,162.53,0.87,30.5,84,84.7,22.9,8.845,2.759
Z1135,26.33,13,130.38,0.62,25.9,90,67,21.62,8.191,2.616
Z1136,29.58,11,110.18,0.84,29.6,72,76,19.9,7.95,2.996
Z1137,50.86,14,122.21,0.95,32.23,84,83.7,20.34,8.946,2.865
Z1138,32.04,7,177.29,0.96,29.4,91,92.7,22.48,7.861,3.095
Z1139,23.78,7,133.57,0.91,29.05,87,94,22.12,8.535,2.763
Z1140,43.9,12,163.5,0.84,28.5,88,83.7,21.62,8.688,2.821
Z1141,39.26,10,128.9,0.94,33.3,91,91.3,21.38,9.184,2.902
Z1142,28,10,102.9,0.93,30.73,87,75.7,19.42,8.654,2.893
Z1143,21.52,10,102.2,0.76,28.47,78,68.7,20.32,8.254,2.749
Z1144,32.74,10,106.7,0.85,38.57,95,91.7,24.16,10.523,2.885
Z1145,22.26,7,115.86,0.96,29.9,97,86.7,22.64,8.666,2.883
Z1147,26.03,9,110.78,0.91,30.75,99,96,24.34,9.476,2.615
Z1148,33.92,13,122.31,0.81,27.92,98,85.3,22.58,9.2,2.523
Z1149,24.82,8,104.5,0.94,32.85,85,83.3,22.22,9.515,2.674
Z1150,29.35,10,149,0.8,26.33,97,96.7,25.72,8.939,2.498
Z1151,27.49,9,127.33,0.98,25.1,83,80,23.32,8.681,2.467
Z1152,57.72,27,108.74,0.8,26.08,102,84,21.88,7.317,3.009
Z1154,47.59,18,94.83,0.92,31.67,84,83.7,23.76,7.923,3.137
Z1155,30.94,9,133.44,0.92,28.82,77,76.3,22.66,9.211,2.484
Z1156,29.57,9,143.11,0.96,24.42,84,80.7,23.32,7.979,2.6
Z1157,31.58,11,119.55,0.93,26.97,78,79,19.98,9.219,2.267
Z1159,38.33,10,143.6,0.88,30.78,77,81,22.22,9.382,2.59
Z1160,34.8,11,145.36,0.92,24.52,83,78.7,23.86,7.922,2.574
Z1161,37.36,12,142.17,0.8,28.15,85,89,24.28,9.182,2.474
Z1162,40.24,11,142.73,0.96,27.7,85,84,23.04,8.463,2.643
Z1163,41.5,12,143.83,0.94,26.25,85,84.7,23.2,8.082,2.673
Z1164,51.72,13,155.23,0.88,30.65,93,108,25,8.508,2.887
Z1165,29.01,8,139.5,0.89,30.78,80,87.7,22.98,9.471,2.593
Z1166,29.31,9,142.11,0.84,27.87,80,85.7,22.18,9.397,2.431
Z1167,21.08,8,106.75,0.91,27.3,93,105.7,22.7,9.453,2.475
Z1168,33.65,11,139.73,0.93,23.73,83,78.3,23.22,7.931,2.512
Z1169,41.93,14,135,0.8,29.42,86,85.7,22.94,9.394,2.549
Z1170,32.26,9,129.11,0.93,31.17,79,78.3,19.52,9.256,2.651
Z1171,39.53,12,119.83,0.87,33.4,74,77,21.28,9.496,2.809
Z1172,30.38,12,132.17,0.76,26.47,84,83,20.66,9.073,2.484
Z1173,31.71,11,110.55,0.96,27.92,84,79.7,20.24,8.186,2.722
Z1174,35.87,10,152.6,0.89,27.25,85,88.7,22.62,8.878,2.468
Z1175,29.34,11,154.91,0.77,23.58,93,82,19.82,8.553,2.354
Z1176,38.84,11,140.45,0.9,29.13,85,92.7,24.82,8.27,2.812
Z1177,27.57,7,158.29,0.88,29.67,83,85.3,25.18,9.434,2.501
Z1178,36.14,12,172.67,0.78,24.98,86,85.7,19.36,8.982,2.458
Z1179,39.66,15,117.6,0.9,26.32,84,76,20.28,8.398,2.672
Z1180,29.76,14,110,0.92,21.63,83,75,20.18,8.631,2.186
Z1181,33.01,11,146.82,0.7,29.53,82,82.3,23.38,9.098,2.611
Z1182,31.6,11,121.27,0.91,27.1,82,77.3,22.6,8.964,2.507
Z1183,42.75,12,134.17,0.94,29.97,94,104.7,21.94,8.418,2.875
Z1184,37.28,15,151.07,0.85,21.47,94,94.7,23.08,8.381,2.265
Z1185,35.95,11,173.45,0.92,22.58,91,99.3,24.76,8.225,2.315
Z1186,36.08,15,146.6,0.83,21.37,88,83.7,20.94,8.195,2.323
Z1187,37.32,11,140.45,0.92,27.37,94,93.3,22.74,8.086,2.711
Z1188,31.47,10,174.3,0.67,27.38,88,85,23.68,8.766,2.703
Z1189,37.25,13,137.77,0.82,27.58,98,103,22.88,9.348,2.476
Z1190,38.63,14,129.86,0.89,24.32,79,70.7,22.06,8.325,2.502
Z1191,41.41,13,155.31,0.76,28.88,87,93,23.48,8.947,2.58
Z1192,30.81,9,132.67,0.96,27.03,79,82.7,22.88,8.612,2.535
Z1193,24.49,7,154.86,0.87,26.55,82,75.7,22.24,8.069,2.678
Z1194,41.41,12,131.17,0.86,32.4,97,103,23.28,8.328,3.033
Z1195,41.03,12,153.92,0.9,25.7,85,78.7,21.5,8.174,2.616
Z1196,41.4,14,127.21,0.94,25.53,84,85.7,20.7,7.971,2.618
Z1197,30.68,10,146.9,0.83,25.73,83,84,22.78,8.079,2.637
Z1198,47.38,11,187.09,0.92,25.08,78,87.7,22.06,7.695,2.768
Z1199,47.96,14,162,0.94,23.18,85,87,22.72,8.173,2.459
Z1200,34.61,10,128.1,0.94,28.98,80,81,19.9,8.574,2.826
Z1201,31.66,11,131,0.78,29.98,82,82.3,23.04,9.611,2.486
Z1202,37.45,11,140.27,0.83,30.13,84,84,20.6,9.17,2.653
Z1203,32.39,10,127.6,0.8,32.33,92,96.3,19.64,9.441,2.625
Z1204,31.84,9,156.33,0.83,28.32,84,85,23.18,9.171,2.474
Z1205,35.07,14,111.5,0.93,25.2,78,75,21.08,8.373,2.497
Z1206,33.96,13,109.15,0.87,27.68,86,75.3,21.14,8.341,2.702
Z1207,52.06,17,137.65,0.97,24.12,86,75.7,21.68,7.317,2.755
Z1208,35.09,12,166.42,0.84,22.92,86,79.7,21.72,7.804,2.576
Z1209,41.66,11,124.91,0.93,35.35,90,93.3,22.64,9.275,2.82
Z1210,42.23,10,152.8,0.93,31.48,89,93.3,21.78,8.413,3.029
Z1211,31.1,11,97.45,0.86,36.5,99,107.7,21.02,10.193,2.859
Z1212,37.15,12,145.42,0.86,26.48,97,99.3,21.16,8.198,2.601
Z1213,39.51,11,142.82,0.9,28.8,95,100,21.16,8.414,2.705
Z1214,41.52,11,160.82,0.93,25.88,89,94.7,21.42,7.918,2.702
Z1215,37.84,16,129.19,0.75,25.55,88,84.3,21.94,8.256,2.674
Z1216,31.44,12,115,0.94,26.12,96,94,22.32,8.304,2.515
Z1217,38.54,13,131.62,0.85,28.48,81,82.3,23.16,9.243,2.574
Z1218,50.65,16,162.06,0.79,27.13,84,85.3,21.3,9.237,2.518
Z1219,53.51,14,135.93,0.91,31.42,88,95.3,22.86,9.214,2.665
Z1220,35.87,9,136.22,0.96,31.25,88,92.3,20.88,8.977,2.67
Z1221,42.73,13,148.23,0.89,27.07,79,78.7,21.34,8.878,2.527
Z1222,44.31,14,145.36,0.82,28.08,78,80,24.44,8.978,2.512
Z1223,31.21,9,118.33,0.96,32.75,96,99.3,24.22,9.333,2.643
Z1224,36.07,10,132.4,0.83,33.37,90,99.7,20.2,9.172,2.671
Z1225,35.14,11,134.73,0.85,31.22,98,98,25.18,9.361,2.569
Z1226,42.37,15,108.73,0.93,29.72,80,84.3,18.6,9.201,2.513
Z1227,35.81,15,101.07,0.9,28.65,89,98.3,19.08,9.305,2.688
Z1228,40.16,11,133.18,0.9,30.88,88,94.7,22.18,8.187,3.1
Z1229,59.97,15,162.73,0.84,31.47,99,104,22.74,8.126,3.228
Z1230,35.58,14,185.79,0.69,27.57,96,108.3,23.24,8.242,2.769
Z1231,40.2,11,140.09,0.89,31.45,96,99,25.52,8.541,3.016
Z1232,51.17,15,141.93,0.86,30.15,94,102.3,22.88,8.127,2.914
Z1233,44.59,13,126.54,0.93,31.47,73,76.3,21.5,9.361,2.606
Z1234,37.03,11,156.73,0.83,28.02,83,78.7,21.32,9.079,2.552
Z1235,33.67,12,138.25,0.81,26.82,87,80,21.26,8.968,2.392
Z1236,27.55,9,120.56,0.91,29.67,76,75.7,21.3,9.32,2.624
Z1237,31.63,8,172.63,0.77,31.37,96,106.3,22.32,9.139,2.671
Z1238,35.86,10,159.9,0.89,27.7,86,89.3,20.7,8.781,2.65
Z1239,25.15,9,122.33,0.86,30.13,103,106.7,23.34,9.939,2.636
Z1240,31.25,10,116.3,0.87,33.47,92,98.3,23.9,9.853,2.651
Z1241,38.63,12,116.58,0.84,35.33,91,104.7,22.12,9.93,2.924
Z1242,28.93,10,114.6,0.85,30.5,75,75,20.3,9.351,2.569
Z1243,32.6,12,132.25,0.69,30.4,82,71,23.5,9.567,2.418
Z1244,34.16,11,134.73,0.8,29.78,83,68.7,22.6,9.58,2.494
Z1245,45.06,10,148.8,0.94,34.5,88,102,24.74,10.201,2.633
Z1246,24.19,9,104.78,0.92,29.32,75,82,20.48,8.949,2.525
Z1247,31.84,10,117.3,0.9,31.48,83,80,21.7,9.358,2.543
Z1248,49.1,16,123.94,0.94,28.1,88,84.7,20.68,8.97,2.526
Z1249,42.68,13,144.77,0.95,24.23,87,82.3,19.58,8.242,2.532
Z1250,28.82,10,130.4,0.86,26.9,71,78.3,20.5,8.948,2.433
Z1251,30.09,7,177.57,0.85,29.37,76,83.7,18.76,7.599,2.961
Z1252,35.91,12,110.83,0.93,30.42,71,80,20.42,9.202,2.581
Z1253,25.76,8,127.88,0.9,29.9,81,89.7,20.1,8.694,2.73
Z1254,38.97,10,144.4,0.88,32.15,98,99.7,23.26,8.099,3.053
Z1255,29.58,11,119.45,0.71,32.73,93,96.7,19.66,9.345,2.609
Z1256,40.43,12,140.92,0.91,28.15,77,76.7,22,8.848,2.552
Z1257,30.86,8,143.75,0.94,30.15,92,89,21.6,8.785,2.814
Z1258,31.18,10,125.7,0.92,28.28,93,89,18.44,8.79,2.628
Z1259,21.48,7,120.57,0.88,29.88,71,71,16.18,7.003,3.231
Z1260,44.5,11,180.27,0.94,25.08,86,80,20.3,8.441,2.538
Z1261,21.52,7,116.57,0.9,31.18,102,101,21.58,9.024,2.886
Z1262,17.84,7,77,0.95,34.78,83,72,18.18,8.557,3.209
Z1263,14.16,6,122,0.77,25.8,83,73.3,18.38,7.296,3.014
Z1264,29.74,7,161.57,0.89,31.75,95,102.3,21.12,8.726,2.937
Z1265,28.23,13,83,0.92,29.33,71,69,15.18,7.427,3.143
Z1266,29.74,8,140.75,0.94,31.75,95,90.3,17.46,9.616,2.433
Z1267,23.47,8,126.5,0.86,29.45,91,85.7,23.24,9.137,2.553
Z1268,21.38,9,106.44,0.87,27.4,100,79.3,22.1,9.345,2.474
Z1270,29.62,8,173.5,0.91,24.67,98,89.3,20.5,8.49,2.472
Z1271,33.93,9,157.22,0.84,30.02,96,97.7,25.42,9.165,2.666
Z1272,36.28,10,141.4,0.93,29.73,90,86,20.22,9.444,2.561
Z1273,30.06,8,156.25,0.86,29.77,94,84.3,20.18,8.866,2.703
Z1274,44.16,13,137.46,0.9,29.5,89,83.3,20.88,9.305,2.546
Z1275,33.38,9,179.11,0.82,26.83,97,99.3,22.12,9.261,2.379
Z1276,43.27,11,157.45,0.9,29.95,96,102.3,23.32,8.236,2.977
Z1277,36.07,8,140,0.97,35.85,96,100.3,22.8,9.254,2.907
Z1278,40.05,12,135.83,0.95,27.18,85,78,22.2,8.826,2.484
Z1279,25.48,7,180.29,0.7,30.28,104,111.7,26.26,9.412,2.712
Z1280,53.61,16,151.38,0.94,24.15,85,83.3,21.52,7.46,2.674
Z1281,41.12,14,138.93,0.93,23.37,80,82,22.34,8.432,2.488
Z1282,42.73,14,135.5,0.89,26.75,88,88.7,17.3,8.738,2.474
Z1283,41.09,14,117.43,0.92,29.53,92,91.7,22.76,9.595,2.502
Z1284,39.52,12,121.67,0.91,32.3,89,92,21.46,9.378,2.727
Z1285,24.29,10,132.5,0.75,25.08,82,74.7,19.32,8.134,2.552
Z1286,29.3,10,143.7,0.88,24.23,84,76,20.84,7.947,2.615
Z1287,27.46,12,117.5,0.82,25.43,94,89,19.98,9.374,2.283
Z1288,29.79,11,116.82,0.85,29.23,95,86.7,19.78,9.092,2.522
Z1289,25.68,9,100.78,0.89,33.45,98,90.7,21.4,9.215,2.761
Z1290,25.56,7,119,0.95,33.55,88,89.3,20.68,9.168,2.722
Z1291,41.8,13,126.62,0.97,26.85,90,94,22.64,8.1,2.637
Z1292,23.8,7,125.57,0.97,28.67,79,79.3,19.9,8.272,2.735
Z1293,26.77,9,118.22,0.93,27.85,73,78.7,20.62,9.308,2.521
Z1294,27.01,10,100.3,0.94,29.28,73,82.7,19.1,9.124,2.586
Z1295,25.7,10,117.6,0.8,28.4,80,74,17.52,8.896,2.613
Z1296,31.79,9,138.78,0.92,28.6,79,84.7,22.1,8.77,2.575
Z1297,36.15,13,111.23,0.96,26.78,80,79.3,19.18,7.757,2.803
Z1298,23.05,10,121.4,0.82,24.28,72,79.7,21.68,8.552,2.457
Z1299,51.06,15,124.93,0.96,29.33,72,75,19.18,8.241,2.765
Z1300,36.03,12,136.42,0.85,27.65,72,75,19.54,9.2,2.53
Z1301,45.68,13,145.46,0.89,27.87,74,76.3,18.94,8.089,2.885
Z1302,31.98,8,179.5,0.92,24.63,74,74.7,18.7,7.583,2.834
Z1303,37.35,13,116.54,0.96,27.2,72,79.7,20.24,9.027,2.439
Z1304,26.55,9,133.89,0.85,26.58,73,67,16.52,7.583,3.058
Z1305,18.99,8,147.13,0.62,26.65,73,72.3,21.06,9.386,2.355
Z1306,36.3,9,161.11,0.9,29.27,78,76,19.58,8.937,2.572
Z1307,39.79,12,127.67,0.93,29.23,78,81.3,21.56,8.924,2.665
Z1308,35.92,11,128.18,0.88,31.67,82,77.3,20.5,9.011,2.757
Z1309,26.29,10,107.5,0.92,27.4,70,68.3,19.5,7.328,3.011
Z1310,32.19,11,112,0.9,30.22,75,78.3,21.08,9.145,2.607
Z1311,33.73,9,145.33,0.92,30.4,81,75.7,22.54,8.672,2.678
Z1312,36.63,10,166.9,0.83,27.45,80,80,20.74,9.218,2.461
Z1313,33.12,11,106.64,0.9,33.08,80,81,22.36,9.52,2.707
Z1314,40.84,15,109.6,0.87,29.1,73,88.3,22.82,9.29,2.566
Z1315,42.05,10,177.9,0.92,27.02,74,77,20.18,8.409,2.711
Z1316,36.31,7,169,0.86,37.5,90,103.7,23.74,9.576,3.022
Z1317,35.68,8,158.5,0.94,31.48,89,99.7,21.3,8.604,2.874
Z1318,37.43,12,108.25,0.92,32.03,93,98.3,22.4,8.815,2.793
Z1319,36.77,10,129.9,0.84,35.85,94,107,24.7,9.726,2.791
Z1320,49.64,13,116.92,0.95,35.82,92,95.3,22.56,9.485,2.859
Z1321,58.44,16,138.06,0.9,30.57,89,101.3,23.14,8.857,2.746
Z1322,43.63,10,150.5,0.87,36.13,91,104,22.06,9.138,2.947
Z1323,22.62,8,101.25,0.91,31.52,88,100.3,19.28,9.565,2.718
Z1324,31.02,12,98,0.89,31.6,87,99,22.22,11.021,2.324
Z1325,44.71,13,123.46,0.9,33.25,91,93.3,21.24,9.044,2.997
Z1326,40.46,11,129.18,0.93,31.67,97,96,22.92,8.628,2.95
Z1327,44.43,12,125.08,0.92,34.43,94,97.3,24.68,9.737,2.712
Z1328,48.5,11,153.82,0.88,34.53,90,100,23.22,9.486,2.844
Z1329,37.9,10,138,0.87,34.22,92,103,22.3,9.431,2.866
Z1330,45.47,10,138.7,0.92,37.15,89,99.3,22.24,9.31,3.072
Z1331,46.67,10,159.9,0.92,33.58,87,101.7,20.18,9.47,2.804
Z1332,31.54,8,158.63,0.84,31.03,90,101.7,22.84,8.343,3.018
Z1333,31.56,8,145,0.85,35.1,93,110.3,24.1,9.666,2.79
Z1334,36.32,10,135.7,0.91,30.82,94,99.7,24.5,9.483,2.628
Z1335,34.73,9,164.78,0.84,29.85,96,104.7,22.54,8.984,2.699
Z1336,48.85,10,206.1,0.97,25.87,83,92.3,24.3,8.512,2.617
Z1337,34.34,8,139.38,0.87,36.83,87,100,23.64,10.041,2.949
Z1338,30.12,10,98.4,0.93,33.58,88,103.7,24.02,10.025,2.662
Z1339,26.25,7,154.43,0.88,29.67,98,103.7,23.7,9.228,2.537
Z1340,46.16,13,119.46,0.96,31.8,91,93.3,21.7,9.559,2.645
Z1341,41.18,10,152.7,0.87,32.72,94,100,23.3,9.52,2.641
Z1343,23.78,5,168,0.82,35.02,99,99,24.48,9.658,2.685
Z1344,60.71,17,144.76,0.9,28.63,86,93.7,23.58,9.244,2.452
Z1345,29.61,8,131.88,0.95,30.67,88,97,21.1,9.578,2.591
Z1346,62.87,13,172.31,0.91,33.6,88,94,23.34,9.741,2.819
Z1347,37.07,8,161.75,0.87,35.3,89,97.3,22.08,9.087,2.967
Z1348,49.69,17,111.82,0.93,29.6,95,98.3,23.04,9.178,2.651
Z1349,35.11,10,122.5,0.94,32.23,90,100,23.32,9.267,2.7
Z1350,35.38,11,113.09,0.95,30.3,91,86.3,21.44,9.204,2.651
Z1351,18.89,14,168.57,0.36,23.77,71,74.7,19.56,7.735,2.795
Z1352,32.14,8,133,0.95,32.53,90,94.3,21.4,9.92,2.61
Z1353,32.52,8,142.88,0.91,32.75,89,94.3,22.98,10.054,2.567
Z1354,45.73,9,163.67,0.94,33.75,89,100.3,23.68,9.91,2.656
Z1355,46,10,159.7,0.93,32.68,91,100.3,25.2,9.352,2.753
Z1356,51.67,12,157,0.91,31.2,91,97.7,23.64,8.953,2.82
Z1357,35.47,10,126.4,0.88,33.55,94,104.7,24.26,9.574,2.799
Z1358,52.46,11,172.82,0.9,32.62,88,101.7,24.74,9.444,2.729
Z1359,27.54,10,115.8,0.82,30.3,90,95,22.52,8.679,2.803
Z1360,44.52,12,126.42,0.92,33.97,98,97,25.6,9.861,2.667
Z1361,43.12,9,205.22,0.73,33.35,87,101,23.4,9.731,2.817
Z1362,37.91,9,136.22,0.95,34.88,88,94,21.48,9.465,2.813
Z1363,43.81,11,157,0.84,32.08,89,95.3,24.28,9.699,2.708
Z1364,38.63,8,159.88,0.93,35.12,89,98,26.02,9.211,2.901
Z1365,39.23,9,146.22,0.91,34.05,91,107.3,23.66,9.658,2.718
Z1366,30.87,7,155.86,0.9,32.3,88,91,23.72,9.987,2.592
Z1367,36.23,17,68.53,0.94,35.12,91,108,23.56,9.647,2.933
Z1368,30.92,7,141.86,0.91,35.38,95,98.7,24.22,9.328,2.943
Z1369,34.14,10,141.9,0.92,28.67,93,93.3,22.16,9.377,2.471
Z1370,26.24,8,143,0.93,26.93,94,92.3,22.1,8.401,2.639
Z1371,35.43,7,176,0.93,32.63,90,100,23.4,9.589,2.716
Z1372,43.5,13,163.31,0.75,27.97,85,96.3,23.32,10.011,2.578
Z1373,41.52,6,254.5,0.9,31.78,95,96.3,24.1,9.657,2.651
Z1374,38.01,9,231.78,0.66,30.73,95,99,22.34,9.489,2.659
Z1375,30.46,11,149.36,0.73,28.03,95,101.3,23.18,9.112,2.552
Z1376,32.77,9,193.33,0.68,30.77,95,100,23.86,9.789,2.62
Z1377,24.59,7,190.43,0.69,28.97,97,103,24.08,9.219,2.551
Z1378,25.2,8,131.75,0.83,31.15,99,98,25.62,9.688,2.682
Z1379,32.1,10,153.7,0.82,27.6,102,93.3,22.64,9.154,2.481
Z1380,19.43,6,138.33,0.87,27.95,99,95,24.68,9.118,2.576
Z1381,34.77,10,122.1,0.95,32.57,94,95.3,21.14,9.427,2.72
Z1382,29.62,9,154.78,0.86,26.98,95,86,20.3,9.084,2.437
Z1383,33.28,10,127.7,0.92,29.87,93,91.7,18.76,8.798,2.68
Z1384,40.94,11,145.64,0.85,31.83,88,94,20.88,9.451,2.691
Z1385,31.5,7,242.14,0.71,26.47,91,102,22.48,7.972,2.694
Z1386,36.45,15,106.27,0.81,29.93,99,98.7,20.5,9.029,2.591
Z1387,32.34,11,113.45,0.82,34.32,95,101.7,18.78,9.509,2.821
Z1388,28.17,11,446.73,0.19,34.23,104,102.7,24.32,9.997,2.684
Z1389,27.69,9,125.67,0.71,36,94,101,21.1,9.591,2.984
Z1390,33.12,12,121.5,0.83,28.5,97,91,22.12,9.735,2.413
Z1391,23.86,8,113,0.93,29.87,98,92.7,20.3,8.817,2.584
Z1392,28.94,10,134.4,0.77,29.55,99,98.3,21.9,9.76,2.545
Z1393,27.02,8,124.88,0.88,31.85,96,93.7,22.32,8.813,2.833
Z1394,23.77,9,117.78,0.83,28.33,96,88.3,21.52,8.938,2.541
Z1395,22.61,5,188.6,0.83,30.58,89,92.3,20.87,9.171,2.638
Z1396,20.81,8,107.5,0.8,31.26,89,88,18.28,9.269,2.727
Z1397,30.91,10,122.6,0.76,33.78,94,95.3,20.54,9.314,2.72
Z1398,21.51,6,149.83,0.83,29.73,87,94.7,23.77,8.963,2.669
Z1399,29.61,8,136.13,0.95,29.72,89,96.3,21.14,9.122,2.683
Z1400,30.54,7,172.71,0.82,32.33,97,96,21.34,9.289,2.82
Z1401,31.52,10,142.1,0.85,27.62,96,96.7,21.28,9.016,2.533
Z1402,32.83,9,142.11,0.91,29.53,98,97.3,21.56,8.82,2.764
Z1403,29.42,8,130.25,0.9,33.32,92,96,20.82,9.299,2.732
Z1405,39.26,12,141.58,0.93,25.42,91,84.7,19.76,8.984,2.37
Z1406,33.77,10,149.4,0.9,29.27,91,102.3,22.78,9.044,2.577
Z1407,41.09,12,144.25,0.73,33.93,93,102.7,21.34,9.642,2.722
Z1408,47.81,12,219.83,0.63,31.78,95,107,22.12,9.592,2.576
Z1409,42.98,12,125,0.85,36.02,98,101.7,21.74,8.983,3.151
Z1410,58.87,15,185.8,0.87,25.53,91,93.3,22.4,8.753,2.581
Z1411,51.6,11,188.36,0.82,32.43,98,110.3,21.44,9.519,2.819
Z1412,12.3,9,261,0.28,22.7,74,72.3,20.02,7.733,2.784
Z1413,37.74,10,178.2,0.77,29.27,97,93.7,22.26,9.025,2.581
Z1414,51.53,14,188.43,0.77,26.53,88,81.7,20.68,8.843,2.514
Z1415,40.18,14,147.21,0.72,31.07,99,111,25.06,9.78,2.681
Z1416,54.52,16,150.5,0.87,27.67,99,94.3,22.88,9.081,2.602
Z1417,39.8,12,131,0.9,30.97,95,94.7,21.46,9.29,2.599
Z1418,38.41,14,133.86,0.72,29.95,100,96.7,24.24,9.549,2.706
Z1419,39.31,13,125.77,0.84,31.2,91,89.3,22.44,9.293,2.666
Z1420,41.55,13,143.54,0.73,32.83,95,97,22.28,9.488,2.734
Z1421,23.82,9,90.33,0.91,33.12,98,91.7,21.32,9.22,2.741
Z1422,28.91,13,125.15,0.71,27.02,90,77.3,18.92,9.009,2.496
Z1423,42.6,11,181.09,0.85,26.17,88,90.3,21.18,8.769,2.558
Z1424,33.61,10,148.2,0.88,26.88,98,86.3,23.12,8.748,2.507
Z1425,43.94,13,143.23,0.85,29.25,98,84.3,23.76,9.329,2.527
Z1426,40.35,14,126.71,0.87,27.9,99,90.7,21.52,8.999,2.562
Z1427,29.51,10,108.1,0.88,31.82,92,89.3,18.1,9.302,2.599
Z1428,31.34,11,131.64,0.89,26.5,92,85,19,8.928,2.468
Z1429,44.26,13,126.31,0.93,31.42,97,99.3,21.12,9.5,2.569
Z1430,48.79,18,163,0.7,26.78,101,95.3,22.08,9.12,2.355
Z1431,39.5,14,142.07,0.73,29.38,103,105.7,24.7,9.109,2.612
Z1432,35.76,14,121.29,0.76,29.73,89,94.3,19.58,9.265,2.56
Z1433,38.17,11,133.18,0.87,32.73,94,103.3,22.28,9.79,2.651
Z1434,45,11,170.45,0.84,31.78,94,103,21,9.321,2.698
Z1435,22.85,10,112.2,0.7,31.12,99,105,23.06,9.616,2.654
Z1436,31.89,10,133.3,0.86,29.15,99,99.3,22.84,9.35,2.605
Z1437,37.41,12,152.33,0.84,26.22,94,88.3,20.9,8.37,2.552
Z1438,49.24,18,109.56,0.84,32.15,101,100,22.3,9.912,2.522
Z1439,42.29,11,192.64,0.76,28.87,93,96.3,24.18,9.161,2.616
Z1440,27.11,11,133.64,0.67,30.4,102,104,25.7,9.527,2.62
Z1441,42.33,11,135.64,0.9,33.65,97,97.3,22.56,9.572,2.8
