LINE,YPP,PN,GNPP,SSR,GWe,FLL,HD,PH,PL,GL,GWi,FLW
Z142,45.16,14,134.4,0.84,31.35,49.83,89,124.7,26.38,9.23,2.98,1.9
Z143,41.57,11,182.2,0.83,28.32,40.83,88,121,29.48,9.77,2.64,1.83
Z144,50.44,14,149.2,0.84,32.85,43.1,83,120.3,28.28,9.39,3.1,1.97
Z145,39.94,12,171.5,0.73,29.13,49.17,86,125.7,27.04,9.17,2.84,2.1
Z146,41.62,15,164.4,0.68,26.48,42.67,76,120.3,26.84,9.76,2.57,1.67
Z147,43.37,14,144.9,0.83,28.02,38,87,124.3,25.56,8.84,2.89,1.97
Z148,37.95,11,202.4,0.68,27.23,45.33,84,120,26.84,8.83,2.84,1.93
Z149,36.05,12,160.8,0.73,28.45,49.33,86,110.3,24.14,9.79,2.7,1.93
Z150,37.88,11,141.7,0.9,28.2,42.67,100,118.3,24.4,8.69,2.87,1.73
Z151,37,14,149.2,0.76,26.23,35.33,74,115,23.82,8.66,2.75,1.8
Z152,58.96,18,186.6,0.62,32.08,36.33,84,123.7,29.84,10.14,2.75,1.87
Z153,40.72,13,129.4,0.85,30.02,46,93,124.3,22.82,8.84,2.92,2.03
Z154,43.88,12,150.2,0.92,29.95,39.33,84,116.3,27.68,9.37,2.89,1.97
Z155,38.37,14,143.4,0.65,33.77,40.33,85,128,30.74,10.07,2.79,1.97
Z156,62.96,16,181.9,0.76,32.48,44.67,87,124.3,27.7,9.67,2.86,2.07
Z157,44.12,13,160.3,0.77,30.72,45,84,116.3,28.02,9.36,2.98,2.2
Z158,45.19,16,153.2,0.65,30.12,40.83,84,132.3,29.74,9.95,2.63,2.03
Z159,57.98,20,152.3,0.74,27.23,29.5,84,122.3,28.2,9.94,2.5,1.8
Z160,52.46,13,179.2,0.91,27.6,43.67,86,121.7,26.82,8.79,2.82,2.13
Z161,62.52,16,174.9,0.81,29.57,41.83,79,123,28.8,9.14,2.86,1.87
Z162,39.23,17,128.7,0.7,29.52,42.5,79,119.7,26.38,10.63,2.58,1.77
Z163,44.04,14,163.7,0.74,28.7,41,90,110,28.38,9.8,2.64,1.87
Z164,48,14,191.2,0.66,30.25,49.67,86,123.7,29.86,9.26,2.94,1.97
Z165,47.87,18,115.4,0.78,31.73,37,86,129.3,25.3,8.9,3.09,1.8
Z166,48.48,14,127.2,0.91,31.75,33.33,90,120.7,23.66,9.02,2.99,1.8
Z167,51.76,15,168.7,0.77,29.1,43.67,86,130.7,27.66,8.7,2.95,2.03
Z170,65.49,19,138.4,0.86,32.15,40,86,121,29.2,9.98,2.71,1.9
Z171,37.62,17,118.9,0.7,27.67,29.5,71,115.3,25.24,8.83,2.67,1.67
Z172,54.37,18,130.3,0.83,29.7,40.83,79,119.3,28.56,10.1,2.63,1.73
Z173,50.76,15,168.5,0.73,30.05,39.67,79,124,28.8,9.96,2.77,1.87
Z174,41.28,19,132.9,0.68,26.9,28.5,72,116.7,24.84,8.69,2.72,1.73
Z175,49.26,12,173.1,0.83,31.58,48.17,83,120,26.88,9,3,2.13
Z176,64.95,16,163.9,0.86,31.32,40,84,124.7,29.4,8.94,3.07,2.17
Z177,47.89,12,165.8,0.88,30.03,39.33,86,120,27.96,8.85,2.97,2
Z178,57.6,18,131.6,0.83,32.03,45.83,84,118.3,25.9,9.59,2.86,1.9
Z179,52.31,13,164.6,0.93,29.37,39.83,87,123,27.56,9.1,2.88,1.97
Z180,47.28,13,166.8,0.85,29.13,38.67,91,113,25.62,8.83,2.89,1.93
Z181,39.34,12,177.1,0.77,27.93,39.83,84,121.3,26.12,8.99,2.83,2
Z182,52.36,15,132.3,0.87,34.15,35.33,80,114.7,27.44,10.06,2.9,2
Z183,41.75,16,123.5,0.81,28.63,34.83,74,107,22.74,8.98,2.73,1.93
Z184,50.22,16,153.5,0.92,23.95,52.33,89,118.3,27.38,8.34,2.76,2.17
Z185,45.8,14,167.9,0.76,28.82,44.67,84,121,24.86,9.07,2.94,2.1
Z186,29.64,12,146.2,0.72,24.35,28.83,69,99,23.04,8.64,2.68,1.83
Z187,57.97,13,181.2,0.85,30.6,48.33,88,125.7,27.26,8.98,3.05,2.17
Z188,53.82,18,140.1,0.7,33.22,41.67,87,126.3,30.62,10.43,2.79,1.93
Z189,49.55,18,129.8,0.7,33.38,38.17,87,120,24.96,9.86,2.9,1.97
Z190,58.48,14,179.1,0.88,29.92,41,80,118.3,28.04,9.18,2.88,2.17
Z191,47.98,16,149.8,0.74,29.6,40.33,88,127,26.1,8.97,2.89,2.07
Z192,74.58,22,138,0.83,33.57,41.83,85,119.7,25.1,10.52,2.87,1.8
Z193,56.92,20,133.2,0.82,27.67,39.83,86,117,27.54,9.18,2.57,1.87
Z194,39.91,12,204.4,0.6,29.32,40.67,84,114.7,28.44,10,2.59,1.9
Z195,34.08,12,127.3,0.87,27.05,31.67,100,115.7,22.82,8.87,2.69,1.77
